budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
10000000,Rollins-Joffe Productions,USA,Woody Allen,Drama,486434,September,PG,18/12/87,83,6.7,Elaine Stritch,7620,Woody Allen,1987
3520000,Independent Film Centre,USA,Lance Hool,Action,562187,Steel Dawn,R,31/03/88,100,5,Patrick Swayze,3860,Doug Lefler,1987
1300000,Empire Pictures,USA,Renny Harlin,Crime,354704,Prison,R,08/12/87,102,5.9,Lane Smith,3019,Irwin Yablans,1987
25000000,Warner Bros.,USA,Martin Ritt,Drama,30950002,Nuts,R,11/12/87,116,6.7,Barbra Streisand,4996,Tom Topor,1987
11000000,Bandai Films,USA,Barry Levinson,Comedy,25411386,Tin Men,R,13/03/87,112,6.5,Richard Dreyfuss,6960,Barry Levinson,1987
7500000,De Laurentiis Entertainment Group (DEG),USA,William Friedkin,Drama,796368,Rampage,R,30/10/92,97,6.3,Michael Biehn,1625,William P. Wood,1987
3000000,Vista Organization,USA,Amy Holden Jones,Fantasy,9868521,Maid to Order,PG,31/07/87,93,5.5,Ally Sheedy,2786,Amy Holden Jones,1987
1000000,Commies From Mars Corporation,UK,Alex Cox,Action,210200,Straight to Hell,R,26/06/87,100,5.8,Sy Richardson,1924,Alex Cox,1987
100000,Silent Night Releasing Corporation,USA,Lee Harry,Horror,154323,"Silent Night, Deadly Night 2",R,10/04/87,88,3.5,Eric Freeman,4329,Michael Hickey,1987
8000000,De Laurentiis Entertainment Group (DEG),USA,Tom McLoughlin,Comedy,1988962,Date with an Angel,PG,20/11/87,105,5.8,Phoebe Cates,2163,Tom McLoughlin,1987
5800000,In-Cine Compañía Industrial Cinematográfica,USA,Alex Cox,Biography,257043,Walker,R,04/12/87,94,6.6,Ed Harris,2684,Rudy Wurlitzer,1987
19000000,TriStar Pictures,USA,Roger Young,Action,2228951,The Squeeze,PG-13,10/07/87,101,4.6,Michael Keaton,770,Daniel Taplitz,1987
5000000,Golan-Globus Productions,USA,Peter R. Hunt,Action,6075793,Assassination,PG-13,09/01/87,88,5.1,Charles Bronson,2255,Richard Sale,1987
75000,Titan Productions,USA,David DeCoteau,Horror,13133,Creepozoids,R,02/10/87,72,3.5,Linnea Quigley,1447,Dave Eisenstark,1987
